block,env,agent,rollouts,horizon,noise_std,flip_prob,mode_adv,delayed_penalty,switch_limit,reward_mean,reward_std,switch_mean,switch_std,churn_mean,churn_std,osc_mean,osc_std
ComputeSweep_N=16,EnvA,Softmax(tau=0.5),16,12,0.25,0.03,0.06,25.0,6,35.856888637788195,1.9484553812038028,27.643,3.9078831865858024,0.4607166666666667,0.0651313864430967,13.364,3.965791724233637
ComputeSweep_N=16,EnvA,LCB(k=1.0),16,12,0.25,0.03,0.06,25.0,6,37.30536218751241,2.649010433517344,18.967,4.28717984227394,0.3161166666666666,0.07145299737123233,8.872,3.231658397788974
ComputeSweep_N=16,EnvA,"EMA(ΔQ,a=0.2)",16,12,0.25,0.03,0.06,25.0,6,54.099882187512414,12.375247628695295,6.834,7.206278096215827,0.1139,0.12010463493693044,4.78,6.597090267686202
ComputeSweep_N=16,EnvA,Dwell(k=4),16,12,0.25,0.03,0.06,25.0,6,37.73064774049422,6.991250152341943,29.5,15.03296377964106,0.49166666666666664,0.25054939632735096,26.957,14.839984871959944
ComputeSweep_N=32,EnvA,Argmax,32,12,0.25,0.03,0.06,25.0,6,47.864729114388496,12.472361129598587,8.349,3.5736814351589876,0.13915,0.05956135725264979,3.261,2.0486285656506893
ComputeSweep_N=32,EnvA,Commitment,32,12,0.25,0.03,0.06,25.0,6,62.279129114388496,2.173724245145556,1.577,1.0807733342380355,0.026283333333333332,0.018012888903967256,0.033,0.1895019788814882
ComputeSweep_N=32,EnvA,Softmax(tau=0.5),32,12,0.25,0.03,0.06,25.0,6,35.935401296791184,1.9907084343315506,27.83,3.9813439941808597,0.4638333333333334,0.06635573323634766,13.691,4.046914750770023
ComputeSweep_N=32,EnvA,LCB(k=1.0),32,12,0.25,0.03,0.06,25.0,6,39.6773291143885,7.098758790956474,12.452,4.148457062571577,0.2075333333333333,0.06914095104285962,5.489,2.6551608237543727
ComputeSweep_N=32,EnvA,"EMA(ΔQ,a=0.2)",32,12,0.25,0.03,0.06,25.0,6,55.9326491143885,11.671842576870494,5.218,5.591464566640837,0.08696666666666666,0.09319107611068063,3.344,5.114456373848545
ComputeSweep_N=32,EnvA,Dwell(k=4),32,12,0.25,0.03,0.06,25.0,6,39.071403645078576,8.738483671263,31.096,17.347702556822906,0.5182666666666668,0.28912837594704843,29.141,17.199858109879862
ComputeSweep_N=64,EnvA,Argmax,64,12,0.25,0.03,0.06,25.0,6,60.93190973620023,7.477205952883649,3.924,2.1331254065338023,0.0654,0.035552090108896706,0.926,1.023974609060205
ComputeSweep_N=64,EnvA,Commitment,64,12,0.25,0.03,0.06,25.0,6,62.27218973620023,2.1599517860124475,1.494,0.9939637820363477,0.024899999999999995,0.016566063033939125,0.027,0.16208331191088116
ComputeSweep_N=64,EnvA,Softmax(tau=0.5),64,12,0.25,0.03,0.06,25.0,6,35.93069022911335,1.9987746811243634,27.448,4.0737324408949585,0.4574666666666667,0.06789554068158266,13.419,4.058994826308602
ComputeSweep_N=64,EnvA,LCB(k=1.0),64,12,0.25,0.03,0.06,25.0,6,50.86290973620024,12.770190707639546,6.554,3.1175445465943223,0.10923333333333334,0.05195907577657204,2.299,1.6749922387879892
ComputeSweep_N=64,EnvA,"EMA(ΔQ,a=0.2)",64,12,0.25,0.03,0.06,25.0,6,58.631549736200235,9.752176739627334,3.887,4.492463800633233,0.06478333333333333,0.07487439667722057,2.092,4.035286359107617
ComputeSweep_N=64,EnvA,Dwell(k=4),64,12,0.25,0.03,0.06,25.0,6,41.24271387024029,10.703471400297929,28.648,18.714595801138746,0.4774666666666667,0.3119099300189791,27.211,18.43714942717556
ComputeSweep_N=128,EnvA,Argmax,128,12,0.25,0.03,0.06,25.0,6,63.322584946125836,2.3142015355338126,2.432,1.4413105147746614,0.04053333333333333,0.024021841912911027,0.128,0.36002222153639346
ComputeSweep_N=128,EnvA,Commitment,128,12,0.25,0.03,0.06,25.0,6,62.36758494612583,2.137140666478587,1.502,1.0119268748284136,0.02503333333333333,0.016865447913806893,0.03,0.1705872210923198
ComputeSweep_N=128,EnvA,Softmax(tau=0.5),128,12,0.25,0.03,0.06,25.0,6,35.99810507482526,2.0022083496051493,27.529,4.204421363279375,0.4588166666666667,0.0700736893879896,13.481,4.099468136234261
ComputeSweep_N=128,EnvA,LCB(k=1.0),128,12,0.25,0.03,0.06,25.0,6,61.46214494612583,6.9288890570487505,3.188,1.936144622697385,0.05313333333333334,0.032269077044956414,0.501,0.8024954828533305
ComputeSweep_N=128,EnvA,"EMA(ΔQ,a=0.2)",128,12,0.25,0.03,0.06,25.0,6,60.11106494612584,8.370640091674579,3.175,3.2686962232670074,0.052916666666666674,0.05447827038778346,1.388,2.8332765484505744
ComputeSweep_N=128,EnvA,Dwell(k=4),128,12,0.25,0.03,0.06,25.0,6,41.74340502483276,11.055826778556796,29.756,19.45344349980229,0.4959333333333333,0.3242240583300382,28.504,19.205311348686852
